MacroPlot Name,Monitoring Status,Unit #,Date,TagNo,Status,DBH (cm),DBH (in),>24in,Ht (m),Ht (ft),CrwnRto,CrwnCl,LiCrBHt (m),LiCrBHt (ft),CrFuBHt,CrwnRad (m),CrwnRad (ft),DecayCl,CharHt (m),CharHt (ft),ScorchHt (m),ScorchHt (ft),Crown Scorch %,Comment,Fuel Depth at Base (cm),Fuel Depth at Base (in),Fuel Depth at 1m (cm),Fuel Depth at 1m (in),Crown Torch %,Health Category (1-5),MacroPlotSize,SnagPlotSize,BrkPntDia,SaComment,Species Symbol
 Plot050,PostBurnYear1,86,6/17/21 9:26,427,L,49.4,19.4488294,no,18.8,61.679792,58.5,C,7.8,25.590552,,2.9,9.514436,,0.8,2.624672,18.6,61.023624,90,,,,,,0,,,,,,PIJE
 Plot050,PostBurnYear1,86,6/17/21 9:26,428,L,45.2,17.7952852,no,19,62.33596,81.1,C,3.6,11.811024,,2,6.56168,,0.27,0.8858268,18.8,61.679792,85,,,,,,0,,,,,,PIJE
 Plot050,PostBurnYear1,86,6/17/21 9:26,429,L,46.35,18.24804135,no,21.4,70.209976,80.4,C,4.2,13.779528,,3,9.84252,,3,9.84252,6.6,21.653544,5,,,,,,0,,,,,,PIJE
 Plot050,PostBurnYear1,86,6/17/21 9:26,430,D,12.65,4.98031765,no,4,13.12336,,,,0,,,,1,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot050,PreBurnYear1,86,8/6/20 11:17,427,L,41.1,16.1811111,no,15,49.2126,72,C,4.2,13.779528,,3,9.84252,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot050,PreBurnYear1,86,8/6/20 11:17,428,L,44.9,17.6771749,no,18,59.05512,87.2,C,2.3,7.545932,,2.5,8.2021,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot050,PreBurnYear1,86,8/6/20 11:17,429,L,45.8,18.0315058,no,19.6,64.304464,79.1,C,4.1,13.451444,,3,9.84252,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot050,PreBurnYear1,86,8/6/20 11:17,430,L,12.9,5.0787429,no,3.2,10.498688,84.4,I,0.5,1.64042,,1,3.28084,,,0,,0,0,,,,,,0,,,,,,PIJE
 Plot051,PostBurnYear1,86,6/17/21 9:30,436,L,56.9,22.4015869,no,12.4,40.682416,69.4,C,3.8,12.467192,,3.25,10.66273,,1.5,4.92126,3.2,10.498688,2,,,,,,0,,,,,,PIJE
 Plot051,PostBurnYear1,86,6/17/21 9:30,437,L,20.9,8.2283509,no,4.2,13.779528,66.7,C,1.4,4.593176,,1.1,3.608924,,0,0,0,0,0,,,,,,0,,,,,,PIJE
