Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2016,95,7,552371,3638147,10,2,52,50,50,0,10,10,0,0,0.00,0,28.73686923,15,0,15,0,15,59.09012341,25,59.09012341,40,0.486,0.069,0.417,0.000,0.000,0.486,0.00,0.32,0.32,0.75,8.20
Laguna_2016,97,13,553272,3636468,55,0.5,1,0.5,0.5,150,30,20,0,1610,4.75,N/A,9.207256072,N/A,N/A,N/A,19.18849158,#VALUE!,4.50597532,N/A,23.6944669,#VALUE!,2.912,0.041,0.908,1.963,18.476,21.387,1.21,1.08,2.29,7.64,13.78
Laguna_2016,98,13,553578,3636145,70,54,54.5,0.5,0.5,100,50,30,0,2380,0.00,10,14.47531713,15,100,15,15.01883975,115,15.72842835,60,30.7472681,175,2.677,0.049,1.220,1.408,2.161,4.838,0.54,1.03,1.57,2.84,12.45
Laguna_2016,99,13,553800,3635957,34,7,22,15,15,70,10,0,0,0,0.00,0,0,10,0,100,9.939766184,100,2.501262292,50,12.44102848,150,4.602,0.073,0.466,4.063,0.000,4.602,0.26,0.27,0.53,0.95,13.62
Laguna_2016,105,35Control,554015,3633115,55,9,30,21,31,110,10,20,0,70,2.30,5,12.20870318,10,0,80,9.375214131,80,1.97917959,5,11.35439372,85,1.634,0.018,0.777,0.839,1.479,3.113,0.94,0.98,1.92,2.15,15.01
Laguna_2016,106,35Control,554219,3633166,70,9,9,0,0,130,0,0,70,0,0.00,0,0,0,0,160,10.66659673,160,0,0,10.66659673,160,0.352,0.004,0.349,0.000,0.000,0.352,0.74,0.89,1.62,1.43,14.84
Laguna_2016,107,35Control,554099,3633360,30,21,21,0,15,110,0,10,0,0,29.93,5,0,5,0,140,19.527976,140,0,10,19.527976,150,2.644,0.004,1.532,1.108,0.000,2.644,0.86,1.23,2.09,1.80,24.22
Laguna_2016,108,35Control,554272,3633657,38,6.5,21.5,15,15,140,20,20,70,0,12.08,20,0,25,0,80,8.803443672,80,14.41848692,40,23.22193059,120,4.588,0.048,2.031,2.509,4.816,9.404,1.13,1.08,2.21,2.36,15.13
Laguna_2016,109,35Control,554454,3634166,40,0.5,6.5,6,7,70,10,50,0,0,11.36,10,13.51147214,50,0,60,17.09687082,60,30.23463361,30,47.33150443,90,1.603,0.007,0.488,1.108,51.759,53.362,0.00,1.82,1.82,3.53,19.69
Laguna_2016,110,35Control,554514,3634001,60,21.5,21.5,0,1,80,30,0,0,0,0.00,0,0,10,0,180,16.70325398,180,2.673655269,5,19.37690925,185,0.839,0.004,0.558,0.278,4.042,4.881,1.03,1.13,2.17,2.21,17.48
Laguna_2016,111,7Control,553454,3639158,10,7.5,47.5,40,40,30,0,30,0,0,5.03,20,47.93936692,15,0,20,28.63042354,20,0,20,28.63042354,40,1.465,0.004,0.070,1.391,9.775,11.240,0.39,0.98,1.38,1.82,21.87
Laguna_2016,112,7Control,553332,3638882,20,7.5,81.5,74,74,50,30,20,0,0,49.74,5,21.39135584,10,0,25,21.40794835,25,42.80356681,15,64.21151517,40,1.014,0.040,0.140,0.834,3.260,4.274,1.13,1.48,2.61,2.54,12.55
Laguna_2016,113,7Control,553573,3638725,32,19,34,15,15,100,70,40,0,140,1.67,5,56.84994474,5,0,35,7.064962627,35,5.977650666,25,13.04261329,60,1.074,0.015,0.495,0.563,2.695,3.769,0.54,1.43,1.97,1.94,6.04
Laguna_2016,114,7Control,553795,3638746,0.5,41,71,30,30,0,0,10,0,0,0.00,0,42.50057566,20,0,5,0,5,0,50,0,55,0.070,0.000,0.070,0.000,1.192,1.262,0.25,0.54,0.79,0.72,N/A
Laguna_2016,115,7Control,553818,3638524,24,31.5,71.5,40,40,0,40,20,0,0,0.00,0,11.956793,15,0,5,0,5,12.17145988,40,12.17145988,45,0.373,0.022,0.351,0.000,0.000,0.373,0.34,0.91,1.25,1.30,8.20
Laguna_2017,20,13,553480,3635911,34.5,29.5,25,20,20,0,20,0,0,280,0.00,0,0,15,0,10,0,10,102.3556876,40,102.3556876,50,0.848,0.084,0.210,0.554,6.275,7.123,0.34,1.49,1.83,2.05,4.10
Laguna_2017,22,13,553323,3636120,39,4,34,32,33,40,30,30,0,1400,0.00,0,15.70568499,20,40,20,40.68795525,60,88.77485809,25,129.4628133,85,3.245,0.096,0.914,2.235,9.365,12.610,0.22,1.25,1.48,3.49,15.84
Laguna_2017,80,35,553928,3634347,31,1,19,11,14,100,0,0,0,0,0.00,0,0,40,0,120,107.7449339,120,0,10,107.7449339,130,1.394,0.146,0.417,0.830,1.491,2.885,0.15,1.01,1.16,2.10,13.52
