FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
San Bernarndino,,BluffMesa_2020,51,1//10,Unit 86,503248,3787101,6.5,7.5,3.5,0,40.47,0.00,0.00,0.00,0.00,0.00,0,0.0,0,58.00,80,0,0,58.0,80,0.02,0.42,0.00,0.54,0.98,0.1,2.583662813,8.28
San Bernarndino,,BluffMesa_2020,52,1//10,Unit 86,503370,3786975,7.5,12.5,1,0,30.35,0.00,0.00,0.00,0.00,0.00,10,0.0,0,22.55,90,0,0,22.5,90,0.26,2.24,1.96,6.84,11.29,0.4,1.126969113,5.58
San Bernarndino,,BluffMesa_2020,53,1//10,Unit 86,502980,3787237,23,0,1,0,50.59,0.00,0.00,0.00,0.00,0.00,0,0.0,0,63.52,70,0,0,63.5,70,0.09,10.05,0.83,1.30,12.28,1.8,3.243111988,7.74
San Bernarndino,,BluffMesa_2020,54,1//10,South Lake,502515,3786104,18,29.5,0.5,0,30.35,0.00,0.00,0.00,0.00,0.00,40,0.0,0,103.16,170,0,,103.2,170,0.59,4.18,1.66,32.75,39.18,2.4,3.341537238,24.82
San Bernarndino,,BluffMesa_2020,55,1//10,South Lake,502576,3785909,34.5,1.5,0.5,0,141.64,0.00,0.00,0.00,279.09,0.00,20,0.0,0,238.29,340,0,0,238.3,340,0.58,7.39,0.84,5.75,14.56,4.1,2.672245538,27.98
San Bernarndino,,BluffMesa_2020,56,1//10,South Lake,502814,3785885,54,0,0,0,91.06,0.00,0.00,0.00,0.00,0.00,60,0.0,0,546.52,320,0,0,546.5,320,0.15,2.44,2.49,6.11,11.20,5.9,3.312009663,N/A
San Bernarndino,,BluffMesa_2020,57,1//10,South Lake,503188,3786245,17.5,38.5,1,0,60.70,0.00,10.12,0.00,0.00,1.45,40,0.0,0,142.21,120,0,0,142.2,120,0.26,2.05,2.81,18.05,23.17,1.6,1.382874763,13.07
San Bernarndino,,BluffMesa_2020,58,1//10,South Lake,503370,3786095,32.5,13,1,0,30.35,0.00,0.00,0.00,0.00,0.00,10,0.0,0,283.23,110,0,0,283.2,110,0.31,3.23,2.79,55.42,61.75,2.4,1.894686063,57.30
San Bernarndino,,BluffMesa_2020,59,1//10,South Lake,503451,3786014,20.5,1,0.5,0,70.82,0.00,60.70,0.00,209.32,10.80,80,0.0,0,255.68,150,0,0,255.7,150,0.76,2.52,2.00,52.29,57.57,1.6,2.308072113,24.89
San Bernarndino,,BluffMesa_2020,60,1//10,South Lake,503545,3786180,8,18,0.5,0,50.59,0.00,10.12,0.00,209.32,1.19,20,0.0,0,84.35,110,0,0,84.3,110,0.53,8.83,5.88,10.92,26.16,4.5,2.937993713,16.21
